Database_name,query,alias,count
Aircontrol,select max(id) from users,user_max_id,1693
Aircontrol,select max(id) from role_access,role_access_max_id,6512
Aircontrol,select max(id) from map_user_sim_order,map_user_sim_order_max_id,1001085
Aircontrol,select max(id) from sim_range,sim_range_max_id,1002345
Aircontrol,select max(id) from order_shipping_status,order_shipping_status_max_id,11000884
Aircontrol,select max(id) from sim_event_log,sim_event_log_max_id,11004647
Aircontrol,select max(id) from accounts,accounts_max_id,3334311
Aircontrol,select max(id) from assets,assets_max_id,824310
Aircontrol,select max(id) from assets_extended,assets_extended_max_id,824310
Aircontrol,select count(*) from accounts,accounts_count,1782
Aircontrol,select count(*) from map_user_sim_order,map_user_sim_order_count,792
Aircontrol,select count(*) from sim_range,sim_range_count,2215
Aircontrol,select count(*) from order_shipping_status,order_shipping_status_count,769
Aircontrol,select count(*) from sim_event_log,sim_event_log_count,4637
Aircontrol,select count(*) from users,users_count,1346
Aircontrol,select count(*) from role_access,role_access_count,5888
Aircontrol,select count(*) from assets,assets_count,11082
Aircontrol,select count(*) from assets_extended,assets_extended_count,553050
RouterDB,select max(id) from sim_map,sim_map_max_id,283136
RouterDB,select max(id) from sim_donor_identfiers,sim_donor_identfiers_max_id,815102
Billing,select max(id) from account,account_max_id,3334311
Billing,select count(id) from account,brstcbilling_s4p2d2.account_count_id,95
Billing,select count(*) from sim_activation,sim_activation_count_id,692
Billing,select count(*) from billing_charges,billing_charges_count_id,161
BSSDB,select max(ACCOUNT_ID) from tenterprise_account,tenterprise_account_max_account_id,3334311
BSSDB,select count(*) from tenterprise_account,tenterprise_account_count,5628
BSSDB,SELECT COUNT(*) FROM tuser_sim_card WHERE imsi IN (SELECT imsi FROM migration_asset),tuser_sim_card_count,0
BSSDB,SELECT COUNT(*) FROM tsim_card WHERE imsi IN (SELECT imsi FROM migration_asset),tsim_card_count,0
BSSDB,select count(*) from migration_asset where status=1,migration_asset_count,0
